Date,day,month,year,min,max
01/01/1965,1,1,1965,1.5,6.2
02/01/1965,2,1,1965,-0.6,3
03/01/1965,3,1,1965,-4,1.3
04/01/1965,4,1,1965,-3.6,2.8
05/01/1965,5,1,1965,-4.5,5.5
06/01/1965,6,1,1965,-1.1,9
07/01/1965,7,1,1965,4.1,10.1
08/01/1965,8,1,1965,6.8,9.1
09/01/1965,9,1,1965,3,9
10/01/1965,10,1,1965,3.9,10.1
11/01/1965,11,1,1965,7.9,10.5
12/01/1965,12,1,1965,6,7.7
13/01/1965,13,1,1965,2.1,9.4
14/01/1965,14,1,1965,2.6,6.3
15/01/1965,15,1,1965,2.3,6.3
16/01/1965,16,1,1965,1.7,11.3
17/01/1965,17,1,1965,4,6.9
18/01/1965,18,1,1965,2.8,4.8
19/01/1965,19,1,1965,-0.8,4.1
20/01/1965,20,1,1965,-1.2,2.2
21/01/1965,21,1,1965,-2.3,3.4
22/01/1965,22,1,1965,-1.6,5.1
23/01/1965,23,1,1965,1,8.1
24/01/1965,24,1,1965,1.7,8.3
25/01/1965,25,1,1965,-1,3.7
26/01/1965,26,1,1965,-0.3,3.5
27/01/1965,27,1,1965,-0.7,2.3
28/01/1965,28,1,1965,-2,1.6
29/01/1965,29,1,1965,-1.4,1.9
30/01/1965,30,1,1965,-2.1,3.1
31/01/1965,31,1,1965,-1.4,5.2
01/02/1965,1,2,1965,-0.9,4.3
02/02/1965,2,2,1965,0.7,5.1
03/02/1965,3,2,1965,-5,2
04/02/1965,4,2,1965,-3.7,5.3
05/02/1965,5,2,1965,1.1,7.5
06/02/1965,6,2,1965,3.2,7.4
07/02/1965,7,2,1965,4.3,6.7
08/02/1965,8,2,1965,4.5,6.4
09/02/1965,9,2,1965,0.9,5.1
10/02/1965,10,2,1965,2,6.4
11/02/1965,11,2,1965,3.9,7.2
12/02/1965,12,2,1965,3,9.1
13/02/1965,13,2,1965,3.1,5.8
14/02/1965,14,2,1965,-0.1,4.4
15/02/1965,15,2,1965,0.4,6.3
16/02/1965,16,2,1965,2.9,7.5
17/02/1965,17,2,1965,3.2,6
18/02/1965,18,2,1965,-2.5,5.3
19/02/1965,19,2,1965,-0.9,5.9
20/02/1965,20,2,1965,0,2.6
21/02/1965,21,2,1965,-0.2,2.8
22/02/1965,22,2,1965,0.2,5.1
23/02/1965,23,2,1965,1.8,4.1
24/02/1965,24,2,1965,1.1,5.2
25/02/1965,25,2,1965,-2.4,5.4
26/02/1965,26,2,1965,-0.1,5.7
27/02/1965,27,2,1965,-0.5,5
28/02/1965,28,2,1965,-0.6,4.7
01/03/1965,1,3,1965,-1,2.9
02/03/1965,2,3,1965,-6.6,0.5
03/03/1965,3,3,1965,-9.3,1.7
04/03/1965,4,3,1965,-3.7,0.6
05/03/1965,5,3,1965,-3.6,3.9
06/03/1965,6,3,1965,-3.4,4.8
07/03/1965,7,3,1965,-6.2,6.6
08/03/1965,8,3,1965,-2.2,8.8
09/03/1965,9,3,1965,-2.7,10
10/03/1965,10,3,1965,-0.4,7.3
11/03/1965,11,3,1965,-2.5,12
12/03/1965,12,3,1965,0.6,13.9
13/03/1965,13,3,1965,1.5,12.8
14/03/1965,14,3,1965,6,12.3
15/03/1965,15,3,1965,6.8,11.4
16/03/1965,16,3,1965,6.3,11.5
17/03/1965,17,3,1965,3.5,9.1
18/03/1965,18,3,1965,5.4,10
19/03/1965,19,3,1965,3.9,6.4
20/03/1965,20,3,1965,2.9,5.1
21/03/1965,21,3,1965,2,4.8
22/03/1965,22,3,1965,1.5,9
23/03/1965,23,3,1965,4.2,10.2
24/03/1965,24,3,1965,5.2,10.7
25/03/1965,25,3,1965,2.7,9.7
26/03/1965,26,3,1965,4.7,12
27/03/1965,27,3,1965,7.9,13.8
28/03/1965,28,3,1965,2.4,19.9
29/03/1965,29,3,1965,0.8,22.2
30/03/1965,30,3,1965,3.5,15.2
31/03/1965,31,3,1965,0.9,15.1
01/04/1965,1,4,1965,-0.3,15.4
02/04/1965,2,4,1965,-0.5,17.2
03/04/1965,3,4,1965,1.2,17.1
04/04/1965,4,4,1965,5.3,12.9
05/04/1965,5,4,1965,4.3,13.8
