box,year,April_lay_date,April_hatch_date,Clutch_size,Mother
B84,1965,20,45,11,603704
EX51C,1965,28,64,10,607098
CP24,1966,43,64,9,607098
B38,1965,35,54,8,607468
B102,1965,36,58,10,608380
B195,1965,34,59,9,608749
B188,1967,36,56,7,608749
W14,1980,19,43,12,A003751
EX58,1980,25,46,9,A003757
EX43,1980,23,49,11,A003759
EX43,1981,18,45,10,A003759
O118,1980,27,48,6,A003761
O106,1980,27,48,9,A003762
O106,1981,23,45,8,A003762
CP25,1980,28,50,9,A003764
EX61,1980,29,50,8,A003768
CP41,1980,33,56,11,A003778
EX62F,1980,31,56,11,A003779
W83,1981,24,51,9,A003799
B52,1980,19,47,14,A003802
B54,1981,14,46,12,A003802
B183,1980,21,43,10,A003804
B217,1980,22,43,6,A003807
B213,1981,15,44,8,A003807
B7,1980,30,52,11,A003808
B2,1981,36,56,11,A003808
MP67,1980,26,47,9,A003809
MP46,1980,27,51,10,A004616
EX27,1981,20,42,8,A006569
EX27,1983,16,39,10,A007114
EX14,1983,21,43,10,A007116
EX36,1983,20,42,10,A007119
EX59,1983,21,44,11,A007120
CP14A,1983,28,46,8,A007121
EX51B,1983,19,44,11,A007122
EX14A,1983,23,45,11,A007123
EX39B,1983,21,46,11,A007124
EX56,1983,28,48,8,A007128
CP35,1983,23,47,11,A007129
CP18,1984,48,68,8,A007129
EX5,1983,26,48,11,A007131
EX22,1983,26,48,11,A007134
EX49B,1983,24,49,12,A007145
EX49A,1983,25,47,10,A007146
EX47A,1983,29,49,10,A007150
EX49C,1984,49,69,9,A007150
CP14,1985,24,47,11,A007150
SW12,1983,28,47,8,A007672
SW9,1983,26,47,7,A007674
SW6,1984,38,57,7,A007674
SW105,1983,26,47,7,A007675
SW26,1983,32,52,8,A007700
SW122,1983,29,53,9,A007831
SW123,1985,34,57,10,A007831
P23,1983,25,48,9,A007862
P6,1983,24,47,11,A007863
P1,1983,30,51,10,A007866
B69,1983,31,52,8,A007867
B89,1983,38,56,7,A007869
SW69,1983,33,54,6,A007870
SW63,1983,30,52,11,A007871
SW41,1983,31,51,9,A007872
SW56,1983,32,54,9,A007873
SW50,1983,35,56,10,A007876
SW126,1983,34,58,9,A007877
SW128,1984,35,59,12,A007877
SW128,1985,21,47,14,A007877
O115,1983,32,55,7,A007878
SW16,1983,31,57,8,A007879
SW131,1983,34,55,8,A007880
B224,1983,37,58,9,A007882
SW102,1983,39,59,5,A007884
SW29,1984,49,72,5,A007884
EX73,1985,25,48,8,A007890
MP6,2005,21,45,9,A225307
MP13,2005,24,42,6,A225396
MP31,2005,14,39,7,A225410
B89,2005,17,41,6,A225441
C145,1980,25,50,10,A627310
C45,1981,18,48,10,A627310
EX18,1983,34,52,6,A722028
O46,1988,35,53,7,A723117
O46,1989,22,41,9,A723117
O46,1990,17,40,9,A723117
EX91,1988,38,59,10,A723150
EX91,1989,26,48,11,A723150
B200,1983,33,52,7,A723883
MP7,1983,29,51,10,A723890
MP96,1984,35,57,10,A723890
O1,1984,37,58,9,A723930
O78,1983,38,58,9,A723987
MP68,1988,28,53,2,A724418
EX6,1985,23,48,11,A724431
B203,1984,43,66,9,A725001
O15,1985,26,47,8,A725015
O15,1984,47,66,8,A725115
O21,1984,46,70,9,A725127
O4,1985,19,46,12,A725127
O19,1986,36,61,11,A725127
EX41C,1984,46,65,6,A725170
EX40,1984,40,61,8,A725179
CP26,1984,45,67,9,A725181
CP17,1985,28,49,9,A725181
CP29,1986,41,60,6,A725181
EX79,1984,52,68,6,A725199
EX79,1985,32,50,7,A725199
O39,1983,36,58,10,A725282
O63,1983,32,59,10,A725344
O34,1983,25,45,9,A725358
O35,1984,28,50,8,A725358
O34,1985,21,44,9,A725358
O38,1983,30,51,10,A725359
O36,1984,31,55,11,A725359
O67,1983,37,56,7,A725394
O79,1983,38,57,8,A725395
EX62G,1983,33,56,9,A725632
O16,1984,36,58,7,A725734
EX7,1984,43,62,9,A725739
C48,1983,36,58,9,A725775
EX42A,1983,30,54,11,A725950
O19,1984,31,55,9,A725970
MP78,1965,36,56,9,AA57794
C59,1965,22,45,10,AH57281
C40,1967,18,40,10,AH57281
MP64,1966,23,45,11,AH57793
B34,1966,34,54,9,AH57797
B112,1967,28,50,9,AH57797
EX35,1983,26,48,11,B067118
EX8,1983,30,51,9,B067120
W19,1983,27,48,11,B067122
W19,1984,30,52,10,B067122
CP41,1983,33,54,10,B067123
EX51A,1983,32,53,9,B067124
W16,1983,31,50,8,B067126
EX48,1983,31,53,11,B067127
W36,1983,27,48,10,B067128
W24,1983,30,50,9,B067129
W35,1983,30,50,8,B067130
EX65,1983,30,52,9,B067131
EX64,1984,38,64,8,B067131
EX62B,1983,28,52,12,B067132
EX62B,1984,37,62,10,B067132
EX62A,1985,30,54,11,B067132
EX63,1983,30,50,8,B067133
W11,1983,32,51,8,B067135
EX21,1984,29,50,9,B067135
CP18,1983,31,53,9,B067148
W73,1983,29,52,9,B067150
W61,1983,31,54,9,B067460
EX41D,1983,34,53,8,B067499
EX41A,1984,52,71,9,B067499
C155,1985,31,52,9,B067827
MP11,1985,20,43,9,B067853
MP14,1985,15,41,14,B067854
MP29,1985,21,45,11,B067856
MP76,1985,21,46,13,B067857
MP44,1985,20,43,12,B067860
MP47,1985,22,43,10,B067862
SW56,1985,22,44,10,B067864
W101,1987,22,43,10,B067864
P6,1985,27,49,9,B067946
P11,1985,28,52,10,B067949
P7,1986,37,61,10,B067949
P6,1987,21,43,11,B067949
P7,1988,25,47,8,B067949
SW80A,1985,36,55,7,B067950
MP49,1985,24,48,10,B067995
SW51,1985,36,55,6,B067996
C19,1985,27,50,10,B068229
C118,1987,20,41,10,B068229
C41,1985,34,56,9,B068250
C141,1986,30,48,8,B068250
EX68,1984,52,72,9,B068280
EX30,1984,53,71,7,B068282
EX63,1984,46,71,7,B068283
MP41,1987,17,39,12,B068366
B18,1986,41,59,7,B068381
B16,1987,23,42,8,B068381
B226,1986,36,55,8,B068394
C121,1984,28,54,10,B068555
SW104,1984,40,56,8,B068556
SW20,1984,43,65,9,B068565
MP90,1984,37,58,9,B068581
B33,1985,20,46,8,B068597
B136,1986,36,57,10,B068597
B134,1987,22,44,10,B068597
B168,1984,36,60,10,B068600
B164,1985,25,49,10,B068600
B52,1984,26,50,8,B068653
B53,1985,20,43,9,B068653
B151,1986,32,53,9,B068653
B78,1987,19,39,10,B068653
B211,1988,27,48,9,B068653
SW119,1984,34,58,8,B068654
SW118,1985,23,50,6,B068654
SW121,1988,27,50,7,B068654
