"","box","year","April_lay_date","Clutch_size","Mother"
"1","B84",1965,20,11,"603704"
"2","EX51C",1965,28,10,"607098"
"3","CP24",1966,43,9,"607098"
"4","B38",1965,35,8,"607468"
"5","B102",1965,36,10,"608380"
"6","B195",1965,34,9,"608749"
"7","B188",1967,36,7,"608749"
"8","W14",1980,19,12,"A003751"
"9","EX58",1980,25,9,"A003757"
"10","EX43",1980,23,11,"A003759"
"11","EX43",1981,18,10,"A003759"
"12","O118",1980,27,6,"A003761"
"13","O106",1980,27,9,"A003762"
"14","O106",1981,23,8,"A003762"
"15","CP25",1980,28,9,"A003764"
"16","EX61",1980,29,8,"A003768"
"17","CP41",1980,33,11,"A003778"
"18","EX62F",1980,31,11,"A003779"
"19","W83",1981,24,9,"A003799"
"20","B52",1980,19,14,"A003802"
"21","B54",1981,14,12,"A003802"
"22","B183",1980,21,10,"A003804"
"23","B217",1980,22,6,"A003807"
"24","B213",1981,15,8,"A003807"
"25","B7",1980,30,11,"A003808"
"26","B2",1981,36,11,"A003808"
"27","MP67",1980,26,9,"A003809"
"28","MP46",1980,27,10,"A004616"
"29","EX27",1981,20,8,"A006569"
"30","EX26",1982,21,9,"A006569"
"31","EX27",1983,16,10,"A007114"
"32","EX14",1983,21,10,"A007116"
"33","EX36",1983,20,10,"A007119"
"34","EX59",1983,21,11,"A007120"
"35","CP14A",1983,28,8,"A007121"
"36","EX51B",1983,19,11,"A007122"
"37","EX14A",1983,23,11,"A007123"
"38","EX39B",1983,21,11,"A007124"
"39","EX56",1983,28,8,"A007128"
"40","CP35",1983,23,11,"A007129"
"41","CP18",1984,48,8,"A007129"
"42","EX5",1983,26,11,"A007131"
"43","EX22",1983,26,11,"A007134"
"44","EX49B",1983,24,12,"A007145"
"45","EX49A",1983,25,10,"A007146"
"46","EX47A",1983,29,10,"A007150"
"47","EX49C",1984,49,9,"A007150"
"48","CP14",1985,24,11,"A007150"
"49","SW12",1983,28,8,"A007672"
"50","SW9",1983,26,7,"A007674"
"51","SW6",1984,38,7,"A007674"
"52","SW105",1983,26,7,"A007675"
"53","SW26",1983,32,8,"A007700"
"54","SW122",1983,29,9,"A007831"
"55","SW123",1985,34,10,"A007831"
"56","P23",1983,25,9,"A007862"
"57","P20",1984,43,8,"A007862"
"58","P6",1983,24,11,"A007863"
"59","P1",1983,30,10,"A007866"
"60","B69",1983,31,8,"A007867"
"61","B89",1983,38,7,"A007869"
"62","SW69",1983,33,6,"A007870"
"63","SW63",1983,30,11,"A007871"
"64","SW41",1983,31,9,"A007872"
"65","SW56",1983,32,9,"A007873"
"66","SW63",1984,47,10,"A007873"
"67","SW50",1983,35,10,"A007876"
"68","SW126",1983,34,9,"A007877"
"69","SW128",1984,35,12,"A007877"
"70","SW128",1985,21,14,"A007877"
"71","O115",1983,32,7,"A007878"
"72","SW16",1983,31,8,"A007879"
"73","SW131",1983,34,8,"A007880"
"74","B224",1983,37,9,"A007882"
"75","SW102",1983,39,5,"A007884"
"76","SW29",1984,49,5,"A007884"
"77","EX73",1985,25,8,"A007890"
"78","MP6",2005,21,9,"A225307"
"79","MP13",2005,24,6,"A225396"
"80","MP31",2005,14,7,"A225410"
"81","B89",2005,17,6,"A225441"
"82","C145",1980,25,10,"A627310"
"83","C45",1981,18,10,"A627310"
"84","EX18",1983,34,6,"A722028"
"85","O46",1988,35,7,"A723117"
"86","O46",1989,22,9,"A723117"
"87","O46",1990,17,9,"A723117"
"88","EX91",1988,38,10,"A723150"
"89","EX91",1989,26,11,"A723150"
"90","B200",1983,33,7,"A723883"
"91","MP7",1983,29,10,"A723890"
"92","MP96",1984,35,10,"A723890"
"93","O1",1984,37,9,"A723930"
"94","O78",1983,38,9,"A723987"
"95","MP68",1988,28,2,"A724418"
"96","EX6",1985,23,11,"A724431"
"97","B203",1984,43,9,"A725001"
"98","O15",1985,26,8,"A725015"
"99","O15",1984,47,8,"A725115"
"100","O21",1984,46,9,"A725127"
"101","O4",1985,19,12,"A725127"
"102","O19",1986,36,11,"A725127"
"103","EX41C",1984,46,6,"A725170"
"104","EX40",1984,40,8,"A725179"
"105","CP26",1984,45,9,"A725181"
"106","CP17",1985,28,9,"A725181"
"107","CP29",1986,41,6,"A725181"
"108","EX79",1984,52,6,"A725199"
"109","EX79",1985,32,7,"A725199"
"110","O39",1983,36,10,"A725282"
"111","O63",1983,32,10,"A725344"
"112","O34",1983,25,9,"A725358"
"113","O35",1984,28,8,"A725358"
"114","O34",1985,21,9,"A725358"
"115","O38",1983,30,10,"A725359"
"116","O36",1984,31,11,"A725359"
"117","O67",1983,37,7,"A725394"
"118","O79",1983,38,8,"A725395"
"119","EX62G",1983,33,9,"A725632"
"120","O16",1984,36,7,"A725734"
"121","EX7",1984,43,9,"A725739"
"122","C48",1983,36,9,"A725775"
"123","EX42A",1983,30,11,"A725950"
"124","O19",1984,31,9,"A725970"
"125","MP78",1965,36,9,"AA57794"
"126","C39",1966,31,9,"AB56508"
"127","C59",1965,22,10,"AH57281"
"128","C40",1967,18,10,"AH57281"
"129","C141",1968,25,11,"AH57281"
"130","C58",1970,33,9,"AH57281"
"131","MP64",1966,23,11,"AH57793"
"132","B34",1966,34,9,"AH57797"
"133","B112",1967,28,9,"AH57797"
"134","C24",1965,43,8,"AK41549"
"135","C57",1966,26,9,"AK41549"
"136","EX35",1983,26,11,"B067118"
"137","EX8",1983,30,9,"B067120"
"138","W19",1983,27,11,"B067122"
"139","W19",1984,30,10,"B067122"
"140","CP41",1983,33,10,"B067123"
"141","EX51A",1983,32,9,"B067124"
"142","W16",1983,31,8,"B067126"
"143","EX48",1983,31,11,"B067127"
"144","W36",1983,27,10,"B067128"
"145","W24",1983,30,9,"B067129"
"146","W35",1983,30,8,"B067130"
"147","EX65",1983,30,9,"B067131"
"148","EX64",1984,38,8,"B067131"
"149","EX62B",1983,28,12,"B067132"
"150","EX62B",1984,37,10,"B067132"
"151","EX62A",1985,30,11,"B067132"
"152","EX63",1983,30,8,"B067133"
"153","W11",1983,32,8,"B067135"
"154","EX21",1984,29,9,"B067135"
"155","CP18",1983,31,9,"B067148"
"156","W73",1983,29,9,"B067150"
"157","W61",1983,31,9,"B067460"
"158","EX41D",1983,34,8,"B067499"
"159","EX41A",1984,52,9,"B067499"
"160","C155",1985,31,9,"B067827"
"161","MP11",1985,20,9,"B067853"
"162","MP14",1985,15,14,"B067854"
"163","MP29",1985,21,11,"B067856"
"164","MP76",1985,21,13,"B067857"
"165","MP44",1985,20,12,"B067860"
"166","MP47",1985,22,10,"B067862"
"167","SW56",1985,22,10,"B067864"
"168","W101",1987,22,10,"B067864"
"169","P6",1985,27,9,"B067946"
"170","P11",1985,28,10,"B067949"
"171","P7",1986,37,10,"B067949"
"172","P6",1987,21,11,"B067949"
"173","P7",1988,25,8,"B067949"
"174","SW80A",1985,36,7,"B067950"
"175","MP49",1985,24,10,"B067995"
"176","SW51",1985,36,6,"B067996"
"177","C19",1985,27,10,"B068229"
"178","C118",1987,20,10,"B068229"
"179","C41",1985,34,9,"B068250"
"180","C141",1986,30,8,"B068250"
"181","EX68",1984,52,9,"B068280"
"182","EX30",1984,53,7,"B068282"
"183","EX63",1984,46,7,"B068283"
"184","MP41",1987,17,12,"B068366"
"185","B18",1986,41,7,"B068381"
"186","B16",1987,23,8,"B068381"
"187","B226",1986,36,8,"B068394"
"188","C121",1984,28,10,"B068555"
"189","SW104",1984,40,8,"B068556"
"190","SW20",1984,43,9,"B068565"
"191","MP90",1984,37,9,"B068581"
"192","B33",1985,20,8,"B068597"
"193","B136",1986,36,10,"B068597"
"194","B134",1987,22,10,"B068597"
"195","B168",1984,36,10,"B068600"
"196","B164",1985,25,10,"B068600"
"197","B52",1984,26,8,"B068653"
"198","B53",1985,20,9,"B068653"
"199","B151",1986,32,9,"B068653"
"200","B78",1987,19,10,"B068653"
"201","B211",1988,27,9,"B068653"
"202","SW119",1984,34,8,"B068654"
"203","SW118",1985,23,6,"B068654"
"204","SW121",1988,27,7,"B068654"
"205","SW104A",1984,34,8,"B068656"
"206","SW103",1985,35,10,"B068656"
"207","SW105",1986,33,10,"B068656"
"208","B94",1984,41,6,"B068657"
