box,year,Clutch_size,ld,average_temperature_laying,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,Num_fledglings,Num_chicks,num_neighbors,Mother
B84,1965,11,110,7.418181818,12.3375,11.26875,11.23125,12.46875,6,7,4,603704
EX51C,1965,10,118,9.665,11.97857143,13.8625,15.89375,14.6875,7,10,4,607098
CP24,1966,9,133,11.65,12.00714286,16.225,16.34375,14.425,3,9,5,607098
B38,1965,8,125,11.8,12.67692308,10.7125,12.8875,16.0625,8,8,5,607468
B102,1965,10,126,13.385,11.48928571,10.9625,14.71875,15.5875,6,6,4,608380
B195,1965,9,124,11.73888889,12.24166667,11.525,15.18125,15.33125,8,8,6,608749
B188,1967,7,126,12.02857143,10.57666667,11.975,13.45,13.80625,4,5,3,608749
W14,1980,12,109,8.591666667,9.214285714,14.6125,11.8,12.85,0,12,6,A003751
EX43,1980,11,113,8.736363636,11.16176471,12.26875,11.26875,15.6,8,8,6,A003759
EX43,1981,10,108,4.95,10.13157895,11.7,11.33125,13.5625,0,10,7,A003759
O118,1980,6,117,8.466666667,10.89117647,12.53125,11.1,15.4125,2,6,7,A003761
O106,1980,9,117,8.694444444,11.22857143,12.53125,11.1,15.4125,8,8,6,A003762
O106,1981,8,113,5.7875,10.6875,11.7,11.33125,13.5625,5,5,6,A003762
CP25,1980,9,118,8.772222222,11.8,12.0875,11.90625,15.0125,7,9,5,A003764
CP41,1980,11,123,9.409090909,13.30357143,11.1,15.4125,14.45,11,11,1,A003778
EX62F,1980,11,121,8.409090909,13.08125,11.1,15.4125,14.45,11,11,2,A003779
W83,1981,9,114,6.261111111,11.18,11.0375,13.66875,13.15625,9,9,9,A003799
B52,1980,14,109,8.642857143,10.73125,12.675,11.06875,15.29375,9,13,6,A003802
B54,1981,12,104,6.466666667,9.559090909,11.85625,11.70625,13.3875,12,12,8,A003802
B213,1981,8,105,7.18125,8.72826087,11.8625,11.0375,13.78125,8,8,5,A003807
B7,1980,11,120,8.181818182,13.21923077,11.8375,14.01875,13.8875,0,NA,4,A003808
B2,1981,11,126,12.53181818,11.34090909,12.91875,12.8125,13.65625,11,11,5,A003808
MP46,1980,10,117,8.595,11.753125,11.8,12.85,14.43125,0,NA,4,A004616
EX27,1981,8,110,4.64375,9.71875,11.71875,11.46875,13.5375,7,7,6,A006569
EX26,1982,9,111,10.31111111,NA,NA,NA,NA,0,0,6,A006569
EX27,1983,10,106,7.15,10.08333333,9.51875,10.39375,11.55625,7,10,9,A007114
EX14,1983,10,111,9.13,9.878571429,10.43125,10.41875,13.3,10,10,6,A007116
EX36,1983,10,110,8.64,9.764285714,10.40625,10.58125,12.50625,9,10,5,A007119
EX59,1983,11,111,9.086363636,9.889285714,10.3125,10.475,13.6125,9,9,4,A007120
CP14A,1983,8,118,9.26875,10.49166667,10.21875,11.28125,14.6875,7,7,6,A007121
EX51B,1983,11,109,8.2,9.81875,10.3125,10.475,13.6125,11,11,5,A007122
EX14A,1983,11,113,9.159090909,10.19230769,10.2875,10.725,14.225,10,10,7,A007123
EX39B,1983,11,111,9.086363636,10,10.21875,11.28125,14.6875,11,11,6,A007124
EX56,1983,8,118,9.26875,10.54642857,10.5375,11.66875,14.675,0,NA,5,A007128
CP35,1983,11,113,9.159090909,10.34333333,10.39375,11.55625,14.70625,0,11,5,A007129
CP18,1984,8,138,10.975,11.15714286,14.65,16.7875,13.7875,6,6,4,A007129
EX5,1983,11,116,9.854545455,10.43076923,10.5375,11.66875,14.675,10,10,4,A007131
EX22,1983,11,116,9.854545455,10.43076923,10.5375,11.66875,14.675,8,11,6,A007134
EX49B,1983,12,114,9.3125,10.51333333,10.625,11.91875,14.725,9,12,9,A007145
EX49A,1983,10,115,9.225,10.43571429,10.39375,11.55625,14.70625,9,10,4,A007146
EX47A,1983,10,119,10.25,9.95,10.625,11.91875,14.725,10,10,4,A007150
EX49C,1984,9,139,10.94444444,11.26153846,15.125,16.4625,13.63125,8,8,5,A007150
CP14,1985,11,114,7.122727273,10.05714286,11.94375,12.9375,12.29375,9,9,7,A007150
SW12,1983,8,118,9.26875,10.55,10.39375,11.55625,14.70625,4,8,4,A007672
SW9,1983,7,116,9.2,10.1625,10.39375,11.55625,14.70625,0,7,7,A007674
SW6,1984,7,128,8.05,10.53214286,10.425,13.50625,15.68125,7,7,5,A007674
SW105,1983,7,116,9.2,10.1625,10.39375,11.55625,14.70625,6,7,5,A007675
SW26,1983,8,122,10.55625,9.778571429,10.475,13.6125,14.29375,7,8,5,A007700
SW122,1983,9,119,10.11666667,10.01470588,10.725,14.225,13.65625,6,6,6,A007831
SW123,1985,10,124,9.465,12.02666667,12.8875,11.625,11.38125,8,9,5,A007831
P23,1983,9,115,9.255555556,10.353125,10.5375,11.66875,14.675,7,9,5,A007862
P20,1984,8,133,9.5375,NA,NA,NA,NA,0,0,4,A007862
P6,1983,11,114,9.063636364,10.43571429,10.39375,11.55625,14.70625,11,11,3,A007863
P1,1983,10,120,10.285,9.784615385,10.41875,13.3,14.24375,8,10,4,A007866
B69,1983,8,121,10.48125,9.89,10.475,13.6125,14.29375,7,8,5,A007867
B89,1983,7,128,9.435714286,10.63076923,11.66875,14.675,12.8875,4,4,5,A007869
SW69,1983,6,123,11.29166667,10.04411765,11.28125,14.6875,12.8125,5,6,3,A007870
SW63,1983,11,120,10.01818182,9.819230769,10.475,13.6125,14.29375,11,11,5,A007871
SW41,1983,9,121,10.34444444,9.784615385,10.41875,13.3,14.24375,8,9,3,A007872
SW56,1983,9,122,10.2,10.00333333,11.28125,14.6875,12.8125,7,8,4,A007873
SW63,1984,10,137,10.96,NA,NA,NA,NA,0,0,4,A007873
SW50,1983,10,125,10.435,10.63076923,11.66875,14.675,12.8875,10,10,3,A007876
SW126,1983,9,124,10.32222222,10.37058824,12.50625,14.65625,13.4875,5,9,7,A007877
SW128,1984,12,125,8.791666667,10.40714286,11.225,14.1375,16.89375,8,12,7,A007877
SW128,1985,14,111,7.082142857,10.05714286,11.94375,12.9375,12.29375,7,12,5,A007877
O115,1983,7,122,10.74285714,10.175,11.55625,14.70625,12.60625,4,4,7,A007878
SW16,1983,8,121,10.48125,10.2025,11.91875,14.725,13.03125,7,8,6,A007879
SW131,1983,8,124,10.425,10.34,11.55625,14.70625,12.60625,7,8,6,A007880
B224,1983,9,127,9.833333333,10.45714286,12.50625,14.65625,13.4875,8,8,7,A007882
SW102,1983,5,129,8.94,10.4,13.3,14.24375,14.09375,4,5,5,A007884
SW29,1984,5,139,10.09,12.065,15.44375,15.44375,13.7125,3,4,4,A007884
EX73,1985,8,115,7.125,10.07058824,11.93125,13.03125,11.93125,8,8,3,A007890
MP6,2005,9,111,10.12222222,10.55,10.31875,13.975,13.1125,4,7,4,A225307
MP13,2005,6,114,10.58333333,10.76785714,9.3375,13.65,13.2125,6,6,5,A225396
MP31,2005,7,104,6.914285714,10.705,8.375,10.86875,14.13125,7,7,5,A225410
B89,2005,6,107,7.933333333,10.58,8.64375,12.875,13.875,0,5,5,A225441
C145,1980,10,115,8.67,11.46764706,12.0875,11.90625,15.0125,9,9,3,A627310
C45,1981,10,108,4.95,10.17045455,11.6875,12.91875,12.8125,9,9,4,A627310
EX18,1983,6,124,11.325,9.778571429,10.475,13.6125,14.29375,6,6,8,A722028
