box,year,Mother,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,average_temperature_laying,Hf2_r,peak_food,mismatch
B84,1965,603704,12.3375,11.26875,11.23125,12.46875,7.418181818,148,145,3
EX51C,1965,607098,11.97857143,13.8625,15.89375,14.6875,9.665,148,164,-16
CP24,1966,607098,12.00714286,16.225,16.34375,14.425,11.65,154,164,-10
B38,1965,607468,12.67692308,10.7125,12.8875,16.0625,11.8,148,154,-6
B102,1965,608380,11.48928571,10.9625,14.71875,15.5875,13.385,148,158,-10
B195,1965,608749,12.24166667,11.525,15.18125,15.33125,11.73888889,148,159,-11
B188,1967,608749,10.57666667,11.975,13.45,13.80625,12.02857143,156,156,0
EX27,1983,A007114,10.08333333,9.51875,10.39375,11.55625,7.15,161,139,22
EX14,1983,A007116,9.878571429,10.43125,10.41875,13.3,9.13,161,143,18
EX36,1983,A007119,9.764285714,10.40625,10.58125,12.50625,8.64,161,142,19
EX59,1983,A007120,9.889285714,10.3125,10.475,13.6125,9.086363636,161,144,17
CP14A,1983,A007121,10.49166667,10.21875,11.28125,14.6875,9.26875,161,146,15
EX51B,1983,A007122,9.81875,10.3125,10.475,13.6125,8.2,161,144,17
EX14A,1983,A007123,10.19230769,10.2875,10.725,14.225,9.159090909,161,145,16
EX39B,1983,A007124,10,10.21875,11.28125,14.6875,9.086363636,161,146,15
EX56,1983,A007128,10.54642857,10.5375,11.66875,14.675,9.26875,161,148,13
CP35,1983,A007129,10.34333333,10.39375,11.55625,14.70625,9.159090909,161,147,14
CP18,1984,A007129,11.15714286,14.65,16.7875,13.7875,10.975,160,168,-8
EX5,1983,A007131,10.43076923,10.5375,11.66875,14.675,9.854545455,161,148,13
EX22,1983,A007134,10.43076923,10.5375,11.66875,14.675,9.854545455,161,148,13
EX49B,1983,A007145,10.51333333,10.625,11.91875,14.725,9.3125,161,149,12
EX49A,1983,A007146,10.43571429,10.39375,11.55625,14.70625,9.225,161,147,14
EX47A,1983,A007150,9.95,10.625,11.91875,14.725,10.25,161,149,12
EX49C,1984,A007150,11.26153846,15.125,16.4625,13.63125,10.94444444,160,169,-9
CP14,1985,A007150,10.05714286,11.94375,12.9375,12.29375,7.122727273,156,147,9
SW12,1983,A007672,10.55,10.39375,11.55625,14.70625,9.26875,161,147,14
SW9,1983,A007674,10.1625,10.39375,11.55625,14.70625,9.2,161,147,14
SW6,1984,A007674,10.53214286,10.425,13.50625,15.68125,8.05,160,157,3
SW105,1983,A007675,10.1625,10.39375,11.55625,14.70625,9.2,161,147,14
SW26,1983,A007700,9.778571429,10.475,13.6125,14.29375,10.55625,161,152,9
SW122,1983,A007831,10.01470588,10.725,14.225,13.65625,10.11666667,161,153,8
SW123,1985,A007831,12.02666667,12.8875,11.625,11.38125,9.465,156,157,-1
P23,1983,A007862,10.353125,10.5375,11.66875,14.675,9.255555556,161,148,13
P6,1983,A007863,10.43571429,10.39375,11.55625,14.70625,9.063636364,161,147,14
P1,1983,A007866,9.784615385,10.41875,13.3,14.24375,10.285,161,151,10
B69,1983,A007867,9.89,10.475,13.6125,14.29375,10.48125,161,152,9
B89,1983,A007869,10.63076923,11.66875,14.675,12.8875,9.435714286,161,156,5
SW69,1983,A007870,10.04411765,11.28125,14.6875,12.8125,11.29166667,161,154,7
SW63,1983,A007871,9.819230769,10.475,13.6125,14.29375,10.01818182,161,152,9
SW41,1983,A007872,9.784615385,10.41875,13.3,14.24375,10.34444444,161,151,10
SW56,1983,A007873,10.00333333,11.28125,14.6875,12.8125,10.2,161,154,7
SW50,1983,A007876,10.63076923,11.66875,14.675,12.8875,10.435,161,156,5
SW126,1983,A007877,10.37058824,12.50625,14.65625,13.4875,10.32222222,161,158,3
SW128,1984,A007877,10.40714286,11.225,14.1375,16.89375,8.791666667,160,159,1
SW128,1985,A007877,10.05714286,11.94375,12.9375,12.29375,7.082142857,156,147,9
